iter	MultiClass
0	0.3429045222
1	1.039567688
2	4.373975148
3	3.025472361
4	2.430015315
5	3.419934607
6	14.81852298
7	14.67096023
8	14.69830521
9	14.27575587
10	15.59149542
11	14.71575916
12	16.27906525
13	20.00922775
14	27.99036774
15	39.8885887
16	142.8621887
17	202.8573452
18	317.5869363
19	268.3889539
20	238.5278983
21	238.9045827
22	204.1277082
23	199.8742525
24	203.0874031
25	195.6061849
26	195.0361417
27	178.783502
28	178.5709388
29	175.8656112
30	178.5610468
31	168.0716811
32	164.0486789
33	161.9708383
34	160.3864633
35	159.2430701
36	155.1950837
37	151.9595774
38	158.5127495
39	153.299099
40	144.374918
41	141.6372438
42	138.1000621
43	134.46211
44	131.1140335
45	127.3904315
46	126.0658184
47	123.91848
48	122.8204766
49	120.7478364
50	120.786429
51	120.7497158
52	118.5012749
53	120.1085356
54	118.7897022
55	114.3557047
56	111.9952519
57	109.5959945
58	108.7158183
59	107.091381
60	105.3454498
61	103.631109
62	103.440633
63	102.8582814
64	102.2993525
65	102.1275086
66	100.8927071
67	100.5195838
68	98.79109762
69	98.58740882
70	97.86644316
71	97.87376318
72	96.59403817
73	94.80297853
74	94.41296124
75	94.25741077
76	93.29557681
77	93.35465278
78	92.98136698
79	93.01360051
80	92.18320193
81	91.5668504
82	91.43877121
83	91.35105106
84	91.00099008
85	89.46141841
86	88.97982313
87	87.95624944
88	87.54370684
89	87.56982151
90	86.56989659
91	85.69028569
92	85.35446907
93	85.08162867
94	84.54787469
95	83.50042615
96	81.87061189
97	80.37501689
98	80.24852747
99	80.09826211
