iter	Passed	Remaining
0	59	5929
1	118	5827
2	176	5700
3	233	5613
4	292	5564
5	351	5507
6	410	5448
7	463	5329
8	520	5257
9	574	5171
10	635	5142
11	696	5104
12	755	5054
13	812	4991
14	869	4926
15	930	4884
16	990	4837
17	1053	4800
18	1114	4751
19	1177	4709
20	1241	4668
21	1302	4619
22	1365	4572
23	1424	4512
24	1485	4455
25	1544	4394
26	1602	4331
27	1663	4276
28	1721	4213
29	1776	4145
30	1833	4080
31	1893	4024
32	1949	3957
33	2004	3890
34	2060	3827
35	2118	3766
36	2179	3710
37	2237	3650
38	2295	3589
39	2348	3522
40	2406	3462
41	2461	3399
42	2522	3343
43	2581	3286
44	2645	3232
45	2708	3179
46	2768	3122
47	2830	3066
48	2888	3006
49	2948	2948
50	3007	2889
51	3064	2828
52	3123	2769
53	3184	2712
54	3242	2652
55	3300	2593
56	3361	2535
57	3422	2478
58	3479	2417
59	3538	2358
60	3599	2301
61	3658	2242
62	3720	2185
63	3776	2124
64	3834	2064
65	3888	2003
66	3946	1943
67	4001	1883
68	4058	1823
69	4116	1764
70	4174	1705
71	4229	1644
72	4288	1586
73	4347	1527
74	4404	1468
75	4457	1407
76	4514	1348
77	4569	1288
78	4622	1228
79	4675	1168
80	4735	1110
81	4790	1051
82	4843	992
83	4898	933
84	4954	874
85	5013	816
86	5068	757
87	5124	698
88	5178	640
89	5233	581
90	5293	523
91	5353	465
92	5410	407
93	5465	348
94	5522	290
95	5575	232
96	5636	174
97	5691	116
98	5748	58
99	5804	0
