Model,Type,Scaler,PCA,Accuracy,F1 Score,MSE,R2
rf,multiclass,None,None,0.9985144466092818,0.9984793380302749,0.15700055995294276,0.9909727004468082
xgb,multiclass,None,None,0.9989207216150668,0.9988806476111541,0.10939749416642085,0.9937098061911064
catboost,multiclass,None,None,0.9983166083455952,0.9982224563488771,0.14959045713003802,0.9913987703788031
lightgbm,multiclass,None,None,0.9069612572621657,0.9018254834747881,8.915724432495642,0.4873590564901654
rf,multiclass,None,0.99,0.9944852583997358,0.9944135520620837,0.4140719530699376,0.9761914762720728
xgb,multiclass,None,0.99,0.8031915551324015,0.717651434479058,20.728654222875402,-0.1918669020066932
catboost,multiclass,None,0.99,0.926017321446551,0.9214773877456197,7.734695355570119,0.5552664783594365
lightgbm,multiclass,None,0.99,0.8399682752212874,0.8366048198672528,15.995594565806835,0.08027701480666993
rf,multiclass,None,10,0.9924061902179577,0.9922958644384435,0.42370420353317945,0.9756376361435464
xgb,multiclass,None,10,0.9872005709047038,0.986880480728074,0.7422273408947588,0.9573230277342053
catboost,multiclass,None,10,0.9752048597556344,0.9742295237548522,1.9936780076273717,0.8853664688020401
lightgbm,multiclass,None,10,0.831351712272508,0.8307750854623579,15.20960080831062,0.12547049117378484
rf,multiclass,MinMaxScaler(),None,0.9985639061752034,0.998518649150115,0.1338481838624035,0.9923039277647241
xgb,multiclass,MinMaxScaler(),None,0.9989207216150668,0.9988806476111541,0.10939749416642085,0.9937098061911064
catboost,multiclass,MinMaxScaler(),None,0.9983130755194579,0.9982262198560977,0.1479706563461039,0.9914919065236516
lightgbm,multiclass,MinMaxScaler(),None,0.9597222492090886,0.9583204733031422,2.522563277332151,0.854956349498474
rf,multiclass,MinMaxScaler(),0.99,0.9957394116784634,0.9957166749628198,0.6071673976672749,0.965088774337383
xgb,multiclass,MinMaxScaler(),0.99,0.9902282029043363,0.9902400968137239,1.5190905092392235,0.91265454671357
catboost,multiclass,MinMaxScaler(),0.99,0.9683388121578679,0.9680008955130369,3.760885962138702,0.7837546300739574
lightgbm,multiclass,MinMaxScaler(),0.99,0.9158162859752101,0.9109281088215024,8.276274069586076,0.5241265048171778
rf,multiclass,MinMaxScaler(),10,0.9952854435198253,0.9952599268866148,0.6574024189260562,0.9622003350534729
xgb,multiclass,MinMaxScaler(),10,0.9877711223258714,0.9877604465344261,1.8553360689183722,0.8933209252821299
catboost,multiclass,MinMaxScaler(),10,0.9551560714266788,0.9533625015061202,5.088792285720847,0.7074019841652639
lightgbm,multiclass,MinMaxScaler(),10,0.7347836762235501,0.7553727247203935,30.49574912695034,-0.753460386067925
rf,multiclass,StandardScaler(),None,0.9987158176991057,0.9986393278462611,0.12365421404333718,0.9928900659238523
xgb,multiclass,StandardScaler(),None,0.9989012910713119,0.9988619497571547,0.11121513321404157,0.9936052946392535
catboost,multiclass,StandardScaler(),None,0.9978962020352612,0.9978103160483894,0.17008614796535712,0.9902202985263748
lightgbm,multiclass,StandardScaler(),None,0.9779127709898449,0.976958936090982,1.2418926056182533,0.9285930154187345
rf,multiclass,StandardScaler(),0.99,0.9984137610643699,0.9983758391740394,0.16345150047958115,0.9906017809255578
xgb,multiclass,StandardScaler(),0.99,0.9982848129103599,0.9981659480494728,0.16487522941289728,0.9905199186215797
catboost,multiclass,StandardScaler(),0.99,0.9841888366226889,0.9838408346432805,1.4326970124655771,0.917622044759801
lightgbm,multiclass,StandardScaler(),0.99,0.952856201611322,0.9558761461848149,3.711127872408451,0.7866156465016962
rf,multiclass,StandardScaler(),10,0.9721878262344136,0.970558314459283,1.744023782985556,0.8997212167802446
xgb,multiclass,StandardScaler(),10,0.991678428033682,0.991237283391259,0.4588310938159645,0.9736178920034628
catboost,multiclass,StandardScaler(),10,0.9673443216002289,0.9666258410478271,2.571648363683254,0.8521340297677769
lightgbm,multiclass,StandardScaler(),10,0.7743937228745194,0.760591644008977,26.982245782247194,-0.5514391500718043
autoencoder_classifier,binary,StandardScaler(),None,0.9959867095080717,0.9898507996068971,0.004013290491928376,0.9746307065675194
random_forest,binary,StandardScaler(),None,0.9979527272534573,0.9948038323417724,0.002047272746542688,0.9870585338520048
udbb,multiclass,StandardScaler(),None,0.7915243968140974,0.8546820622316774,21.030456494129325,-0.2088810190632333
cnn_classifier,multiclass,StandardScaler(),None,0.9964618746235332,0.9960534627760448,0.24348061096695217,0.9860041512085088
